wavelength,species,ep,gf
5432.95,26.0,4.45,-0.94
5441.34,26.0,4.31,-1.63
5461.55,26.0,4.45,-1.800
5464.28,26.0,4.14,-1.58
5466.396,26.0,4.371,-0.565
5466.987,26.0,3.573,-2.23
5470.09,26.0,4.45,-1.710
5472.71,26.0,4.21,-1.52
5473.90,26.0,4.15,-0.72
5483.10,26.0,4.15,-1.45
5487.15,26.0,4.42,-1.43
5491.832,26.0,4.186,-2.188
5501.47,26.0,0.96,-3.06
5522.45,26.0,4.21,-1.45
5525.54,26.0,4.23,-1.12
5543.94,26.0,4.22,-1.04
5546.51,26.0,4.37,-1.21
5554.89,26.0,4.55,-0.36
5560.21,26.0,4.43,-1.09
5567.39,26.0,2.61,-2.66
5569.62,26.0,3.42,-0.63
5576.09,26.0,3.43,-0.94
5577.02,26.0,5.03,-1.543
5584.76,26.0,3.57,-2.22
5600.224,26.0,4.260,-1.420
5618.63,26.0,4.21,-1.27
5619.60,26.0,4.39,-1.60
5624.02,26.0,4.39,-1.380
5624.55,26.0,3.42,-0.82
5633.95,26.0,4.99,-0.23
5635.82,26.0,4.26,-1.79
5636.70,26.0,3.64,-2.510
5638.26,26.0,4.22,-0.77
5649.987,26.0,5.0995,-0.8
5650.71,26.0,5.09,-0.86
5651.469,26.0,4.473,-1.75
5653.87,26.0,4.39,-1.54
5661.348,26.0,4.284,-1.756
5679.023,26.0,4.652,-0.75
5686.53,26.0,4.55,-0.57
5696.090,26.0,4.548,-1.720
5701.544,26.0,2.559,-2.163
5705.464,26.0,4.301,-1.355
5717.83,26.0,4.28,-1.03
5731.76,26.0,4.26,-1.20
5741.85,26.0,4.26,-1.672
5752.03,26.0,4.55,-1.177
5775.08,26.0,4.22,-1.30
5778.453,26.0,2.588,-3.440
5784.658,26.0,3.396,-2.532
5793.914,26.0,4.220,-1.619
5806.73,26.0,4.61,-0.95
5809.218,26.0,3.883,-1.71
5814.81,26.0,4.28,-1.870
5837.70,26.0,4.29,-2.240
5849.68,26.0,3.69,-2.890
5852.22,26.0,4.55,-1.23
5855.076,26.0,4.608,-1.478
5856.09,26.0,4.29,-1.46
5858.78,26.0,4.22,-2.160
5859.59,26.0,4.55,-0.58
5861.11,26.0,4.28,-2.304
5862.36,26.0,4.55,-0.127
5902.47,26.0,4.59,-1.710
5905.67,26.0,4.65,-0.69
5909.97,26.0,3.21,-2.60
5916.25,26.0,2.45,-2.99
5927.79,26.0,4.65,-0.99
5929.68,26.0,4.55,-1.31
5930.18,26.0,4.65,-0.17
5934.65,26.0,3.93,-1.07
5952.72,26.0,3.98,-1.34
5956.694,26.0,0.859,-4.552
5976.78,26.0,3.94,-1.243
5987.065,26.0,4.795,-0.212
6003.01,26.0,3.88,-1.06
6005.541,26.0,2.588,-3.43
6024.06,26.0,4.55,-0.02
6027.050,26.0,4.076,-1.09
6054.07,26.0,4.37,-2.333
6056.00,26.0,4.73,-0.40
6065.482,26.0,2.609,-1.530
6078.49,26.0,4.80,-0.321
6079.01,26.0,4.65,-1.02
6082.71,26.0,2.22,-3.57
6085.26,26.0,2.76,-3.05
6093.644,26.0,4.607,-1.30
6096.665,26.0,3.984,-1.81
6127.91,26.0,4.14,-1.40
6151.618,26.0,2.176,-3.282
6157.72,26.0,4.07,-1.20
6165.360,26.0,4.143,-1.46
6170.51,26.0,4.80,-0.38
6173.335,26.0,2.223,-2.880
6180.20,26.0,2.73,-2.63
6187.99,26.0,3.94,-1.62
6200.313,26.0,2.609,-2.416
6213.430,26.0,2.223,-2.52
6219.28,26.0,2.20,-2.43
6226.736,26.0,3.883,-2.1
6229.23,26.0,2.85,-2.83
6232.64,26.0,3.65,-1.22
6240.646,26.0,2.223,-3.287
6246.32,26.0,3.60,-0.87
6252.555,26.0,2.404,-1.687
6265.134,26.0,2.176,-2.547
6270.225,26.0,2.858,-2.54
6271.279,26.0,3.332,-2.703
6297.793,26.0,2.223,-2.715
6311.500,26.0,2.831,-3.141
6322.69,26.0,2.59,-2.43
6335.33,26.0,2.20,-2.26
6336.82,26.0,3.69,-0.93
6344.15,26.0,2.43,-2.92
6355.03,26.0,2.84,-2.31
6358.68,26.0,0.86,-4.24
6380.74,26.0,4.19,-1.32
6392.539,26.0,2.279,-4.03
6393.60,26.0,2.43,-1.60
6411.65,26.0,3.65,-0.69
6419.95,26.0,4.73,-0.24
6421.35,26.0,2.28,-2.02
6430.846,26.0,2.176,-2.006
6481.87,26.0,2.28,-2.98
6498.939,26.0,0.958,-4.695
6518.367,26.0,2.831,-2.448
6574.229,26.0,0.990,-5.010
6593.871,26.0,2.433,-2.394
6597.56,26.0,4.80,-0.97
6609.110,26.0,2.559,-2.682
6699.142,26.0,4.593,-2.101
6625.022,26.0,1.011,-5.336
6677.987,26.0,2.692,-1.418
6703.567,26.0,2.759,-3.023
6705.102,26.0,4.607,-0.98
6710.319,26.0,1.485,-4.88
6713.745,26.0,4.795,-1.40
6725.357,26.0,4.103,-2.19
6726.667,26.0,4.607,-1.03
6733.151,26.0,4.638,-1.47
6739.522,26.0,1.557,-4.794
6750.152,26.0,2.424,-2.621
6752.71,26.0,4.64,-1.22
6793.259,26.0,4.076,-2.326
6806.845,26.0,2.727,-3.11
6810.263,26.0,4.607,-0.986
6828.59,26.0,4.64,-0.82
6837.006,26.0,4.593,-1.687
6839.830,26.0,2.559,-3.35
6841.34,26.0,4.61,-0.71
6842.69,26.0,4.64,-1.22
6843.66,26.0,4.55,-0.83
6854.823,26.0,4.593,-1.926
6855.16,26.0,4.56,-0.74
6858.15,26.0,4.61,-0.94
6945.205,26.0,2.424,-2.454
6978.852,26.0,2.484,-2.479
6999.88,26.0,4.10,-1.46
7022.95,26.0,4.19,-1.15
7038.22,26.0,4.22,-1.20
7090.38,26.0,4.23,-1.11
7132.99,26.0,4.08,-1.65
7401.685,26.0,4.186,-1.500
7418.67,26.0,4.14,-1.38
7583.79,26.0,3.02,-1.88
7710.36,26.0,4.22,-1.11
7723.21,26.0,2.28,-3.62
4491.40,26.1,2.856,-2.66
4508.29,26.1,2.856,-2.52
4520.224,26.1,2.8068,-2.65
4576.333,26.1,2.844,-2.950
4620.513,26.1,2.828,-3.210
4629.34,26.1,2.81,-2.28
4993.34,26.1,2.81,-3.73
5132.66,26.1,2.81,-4.17
5197.577,26.1,3.231,-2.220
5234.624,26.1,3.221,-2.180
5264.804,26.1,3.230,-3.130
5284.10,26.1,2.89,-3.20
5325.55,26.1,3.22,-3.25
5414.072,26.1,3.221,-3.580
5425.257,26.1,3.200,-3.220
5525.12,26.1,3.27,-3.94
5534.84,26.1,3.24,-2.88
6084.09,26.1,3.20,-3.83
6149.24,26.1,3.89,-2.75
6238.38,26.1,3.89,-2.63
6247.55,26.1,3.89,-2.38
6369.462,26.1,2.891,-4.110
6416.92,26.1,3.89,-2.75
6432.676,26.1,2.891,-3.570
6456.383,26.1,3.9036,-2.05
6516.077,26.1,2.891,-3.310
7222.392,26.1,3.889,-3.260
7224.479,26.1,3.889,-3.200
7449.33,26.1,3.89,-3.27
7515.831,26.1,3.903,-3.390
7711.721,26.1,3.903,-2.500
